timestamp,order_id,symbol,direction,quantity,entry_price,stop_loss,target,strategy,confidence,rr,event
2026-03-19 12:15:09,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2851.7,2778.44,3034.85,EDG_MOMENT_86_EE0003,,,CLOSE,2851.7,0.0,emergency_close
2026-03-19 12:17:29,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:29,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:30,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,,,CLOSE,16649.0,0.0,emergency_close
2026-03-19 12:17:30,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,,,CLOSE,3933.8,0.0,emergency_close
2026-03-19 12:17:30,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:31,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,,,CLOSE,16585.0,0.0,emergency_close
2026-03-19 12:17:31,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:32,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,,,CLOSE,11764.0,0.0,emergency_close
2026-03-19 12:17:32,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:33,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,,,CLOSE,11794.0,0.0,emergency_close
2026-03-19 12:17:33,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:34,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,,,CLOSE,11799.0,0.0,emergency_close
2026-03-19 12:17:35,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,7.55,2.5,OPEN
2026-03-19 12:17:35,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,,,CLOSE,3660.3,0.0,emergency_close
2026-03-19 12:17:36,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:37,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,,,CLOSE,3709.2,0.0,emergency_close
2026-03-19 12:17:37,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2851.7,2778.44,3034.85,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:17:38,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2851.7,2778.44,3034.85,EDG_MOMENT_86_EE0003,,,CLOSE,2851.7,0.0,emergency_close
2026-03-19 12:21:56,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:21:57,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:21:57,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,,,CLOSE,16649.0,0.0,emergency_close
2026-03-19 12:21:58,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,,,CLOSE,3933.8,0.0,emergency_close
2026-03-19 12:21:58,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:21:59,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,,,CLOSE,16585.0,0.0,emergency_close
2026-03-19 12:21:59,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:22:00,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,,,CLOSE,11764.0,0.0,emergency_close
2026-03-19 12:22:00,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:22:01,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,,,CLOSE,11794.0,0.0,emergency_close
2026-03-19 12:22:01,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:22:02,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,,,CLOSE,11799.0,0.0,emergency_close
2026-03-19 12:22:03,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,7.55,2.5,OPEN
2026-03-19 12:22:04,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,,,CLOSE,3660.3,0.0,emergency_close
2026-03-19 12:22:04,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:22:05,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,,,CLOSE,3709.2,0.0,emergency_close
2026-03-19 12:22:07,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2856.4,2783.62,3038.35,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:22:08,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2856.4,2783.62,3038.35,EDG_MOMENT_86_EE0003,,,CLOSE,2856.4,0.0,emergency_close
2026-03-19 12:28:07,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:07,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:08,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,,,CLOSE,16649.0,0.0,emergency_close
2026-03-19 12:28:08,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,,,CLOSE,3933.8,0.0,emergency_close
2026-03-19 12:28:09,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:10,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,,,CLOSE,16585.0,0.0,emergency_close
2026-03-19 12:28:10,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:11,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,,,CLOSE,11764.0,0.0,emergency_close
2026-03-19 12:28:11,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:12,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,,,CLOSE,11794.0,0.0,emergency_close
2026-03-19 12:28:12,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:13,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11799.0,11512.8,12514.5,EDG_MOMENT_86_EE0003,,,CLOSE,11799.0,0.0,emergency_close
2026-03-19 12:28:13,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,7.55,2.5,OPEN
2026-03-19 12:28:14,SIM_M&M_BUY_33,M&M,BUY,33,3660.3,3567.3,3892.8,Trend_Pullback,,,CLOSE,3660.3,0.0,emergency_close
2026-03-19 12:28:14,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:15,SIM_M&M_BUY_33,M&M,BUY,33,3709.2,3630.9,3904.95,EDG_MOMENT_86_EE0003,,,CLOSE,3709.2,0.0,emergency_close
2026-03-19 12:28:16,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2851.7,2778.44,3034.85,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:28:16,SIM_GRASIM_BUY_43,GRASIM,BUY,43,2851.7,2778.44,3034.85,EDG_MOMENT_86_EE0003,,,CLOSE,2851.7,0.0,emergency_close
2026-03-19 12:35:33,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:35:33,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:35:34,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16649.0,16269.2,17598.5,EDG_MOMENT_86_EE0003,,,CLOSE,16649.0,0.0,emergency_close
2026-03-19 12:35:34,SIM_TITAN_BUY_31,TITAN,BUY,31,3933.8,3835.94,4178.45,EDG_MOMENT_86_EE0003,,,CLOSE,3933.8,0.0,emergency_close
2026-03-19 12:35:34,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:35:35,SIM_MARUTI_BUY_7,MARUTI,BUY,7,16585.0,16129.0,17725.0,EDG_MOMENT_86_EE0003,,,CLOSE,16585.0,0.0,emergency_close
2026-03-19 12:35:35,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:35:36,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11764.0,11498.8,12427.0,EDG_MOMENT_86_EE0003,,,CLOSE,11764.0,0.0,emergency_close
2026-03-19 12:35:36,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,7.25,2.5,OPEN
2026-03-19 12:35:37,SIM_ULTRACEMCO_BUY_10,ULTRACEMCO,BUY,10,11794.0,11525.8,12464.5,EDG_MOMENT_86_EE0003,,,CLOSE,11794.0,0.0,emergency_close
