model,date,n_universe,pool_up_count,pool_down_count,sel_up_count,sel_down_count,up_dir_acc_5d,sel_up_avg_ret_5d,down_dir_acc_5d,sel_down_avg_ret_5d,smcr_up_1pct_pool,smcr_up_1pct_sel,smcr_down_1pct_pool,smcr_down_1pct_sel,n_strong_up_1pct,n_strong_down_1pct,smcr_up_2pct_pool,smcr_up_2pct_sel,smcr_down_2pct_pool,smcr_down_2pct_sel,n_strong_up_2pct,n_strong_down_2pct,smcr_up_3pct_pool,smcr_up_3pct_sel,smcr_down_3pct_pool,smcr_down_3pct_sel,n_strong_up_3pct,n_strong_down_3pct,top1_up_capture,top3_up_capture,top5_up_capture,top1_down_capture,top3_down_capture,top5_down_capture,pool_precision_up,pool_precision_down,sel_precision_up,sel_precision_down,sel_lift_up,sel_up_avg_mfe,sel_up_avg_mae,sel_up_avg_ret_1d,sel_up_avg_ret_3d,regime,n_iios_signals
MODEL_B,2021-02-10,196,20,20,6,6,0.5,4.888883333333333,0.6666666666666666,-1.7836333333333336,0.09782608695652174,0.03260869565217391,0.15254237288135594,0.06779661016949153,92,59,0.0958904109589041,0.0410958904109589,0.15217391304347827,0.08695652173913043,73,46,0.10526315789473684,0.05263157894736842,0.1875,0.09375,57,32,0,0,1,0,1,2,0.35,0.35,0.5,0.6666666666666666,1.3424657534246573,12.440916666666666,-5.7530833333333335,2.7115666666666667,4.808400000000001,TRENDING_UP,39
MODEL_C,2021-02-10,196,20,20,6,6,0.6666666666666666,11.499500000000003,0.5,0.21091666666666656,0.15217391304347827,0.043478260869565216,0.0847457627118644,0.05084745762711865,92,59,0.136986301369863,0.0410958904109589,0.06521739130434782,0.043478260869565216,73,46,0.15789473684210525,0.05263157894736842,0.09375,0.0625,57,32,0,1,1,0,0,0,0.5,0.15,0.5,0.3333333333333333,1.3424657534246573,13.971333333333332,-1.8617166666666665,3.6315333333333335,7.832533333333331,TRENDING_UP,39
MODEL_A,2021-02-11,196,20,0,6,0,0.8333333333333334,2.1622333333333335,,,0.11827956989247312,0.043010752688172046,0.0,0.0,93,67,0.12658227848101267,0.0379746835443038,0.0,0.0,79,49,0.13333333333333333,0.03333333333333333,0.0,0.0,60,31,0,0,0,0,0,0,0.5,0.0,0.5,0.0,1.240506329113924,4.8100000000000005,-2.4714833333333335,-1.5850333333333335,1.9688,TRENDING_UP,33
MODEL_B,2021-02-11,196,20,20,6,6,0.8333333333333334,12.566650000000001,0.16666666666666666,4.8743,0.13978494623655913,0.053763440860215055,0.11940298507462686,0.014925373134328358,93,67,0.12658227848101267,0.05063291139240506,0.14285714285714285,0.02040816326530612,79,49,0.13333333333333333,0.06666666666666667,0.1935483870967742,0.03225806451612903,60,31,1,1,1,0,0,1,0.5,0.35,0.6666666666666666,0.16666666666666666,1.6540084388185652,20.6938,-3.6038833333333335,0.2869833333333333,11.402199999999999,TRENDING_UP,33
MODEL_C,2021-02-11,196,20,20,6,6,0.8333333333333334,5.858183333333333,0.0,7.1984499999999985,0.12903225806451613,0.053763440860215055,0.05970149253731343,0.0,93,67,0.12658227848101267,0.05063291139240506,0.02040816326530612,0.0,79,49,0.16666666666666666,0.06666666666666667,0.0,0.0,60,31,0,0,0,0,0,0,0.5,0.05,0.6666666666666666,0.0,1.6540084388185652,7.584933333333335,-2.3072333333333335,-0.28268333333333323,3.3658,TRENDING_UP,33
MODEL_A,2021-02-12,196,20,0,6,0,0.3333333333333333,-0.6177499999999998,,,0.13157894736842105,0.02631578947368421,0.0,0.0,76,89,0.14516129032258066,0.03225806451612903,0.0,0.0,62,63,0.1320754716981132,0.018867924528301886,0.0,0.0,53,47,0,0,0,0,0,0,0.45,0.0,0.3333333333333333,0.0,1.053763440860215,5.892616666666666,-5.491599999999999,1.0110833333333333,1.7194500000000004,TRENDING_UP,47
MODEL_B,2021-02-12,196,20,20,6,6,0.8333333333333334,3.8695,0.3333333333333333,6.9623,0.14473684210526316,0.06578947368421052,0.10112359550561797,0.02247191011235955,76,89,0.16129032258064516,0.06451612903225806,0.14285714285714285,0.031746031746031744,62,63,0.1320754716981132,0.05660377358490566,0.19148936170212766,0.0425531914893617,53,47,0,0,0,0,0,1,0.5,0.45,0.6666666666666666,0.3333333333333333,2.10752688172043,9.233083333333333,-0.6266166666666666,2.75155,5.772516666666667,TRENDING_UP,47
MODEL_C,2021-02-12,196,20,20,6,6,0.5,3.021433333333334,0.3333333333333333,6.9623,0.15789473684210525,0.039473684210526314,0.07865168539325842,0.02247191011235955,76,89,0.1774193548387097,0.04838709677419355,0.09523809523809523,0.031746031746031744,62,63,0.1320754716981132,0.05660377358490566,0.1276595744680851,0.0425531914893617,53,47,0,0,0,0,0,1,0.55,0.3,0.5,0.3333333333333333,1.5806451612903225,8.21885,-4.09945,1.684583333333333,4.31005,TRENDING_UP,47
MODEL_A,2021-02-15,196,20,0,6,0,0.6666666666666666,9.329416666666665,,,0.13559322033898305,0.06779661016949153,0.0,0.0,59,120,0.16666666666666666,0.08333333333333333,0.0,0.0,48,105,0.15,0.075,0.0,0.0,40,91,1,1,1,0,0,0,0.4,0.0,0.6666666666666666,0.0,2.7222222222222223,16.378216666666667,-2.331783333333333,5.735666666666667,7.02055,TRENDING_UP,37
MODEL_B,2021-02-15,196,20,20,6,6,0.6666666666666666,9.066233333333333,0.5,3.331933333333333,0.15254237288135594,0.06779661016949153,0.08333333333333333,0.016666666666666666,59,120,0.1875,0.08333333333333333,0.08571428571428572,0.009523809523809525,48,105,0.175,0.075,0.08791208791208792,0.0,40,91,1,1,1,0,0,0,0.45,0.45,0.6666666666666666,0.16666666666666666,2.7222222222222223,14.840083333333332,-3.296666666666667,4.3654,6.6863,TRENDING_UP,37
MODEL_C,2021-02-15,196,20,20,6,6,0.6666666666666666,9.951616666666665,0.3333333333333333,11.329566666666665,0.15254237288135594,0.06779661016949153,0.06666666666666667,0.008333333333333333,59,120,0.1875,0.08333333333333333,0.06666666666666667,0.009523809523809525,48,105,0.175,0.05,0.06593406593406594,0.0,40,91,1,1,1,0,0,0,0.45,0.35,0.6666666666666666,0.16666666666666666,2.7222222222222223,16.665000000000003,-1.5763833333333332,6.519216666666668,8.303650000000001,TRENDING_UP,37
MODEL_A,2021-02-16,196,20,0,6,0,0.5,6.105716666666666,,,0.1875,0.046875,0.0,0.0,64,109,0.17647058823529413,0.0392156862745098,0.0,0.0,51,91,0.17777777777777778,0.044444444444444446,0.0,0.0,45,77,1,1,1,0,0,0,0.45,0.0,0.3333333333333333,0.0,1.2810457516339868,11.148683333333333,-5.046616666666666,2.72845,2.0920666666666663,TRENDING_UP,39
MODEL_B,2021-02-16,196,20,20,6,6,0.6666666666666666,6.6803833333333325,0.3333333333333333,5.872266666666667,0.140625,0.0625,0.06422018348623854,0.01834862385321101,64,109,0.13725490196078433,0.0784313725490196,0.054945054945054944,0.01098901098901099,51,91,0.15555555555555556,0.08888888888888889,0.06493506493506493,0.012987012987012988,45,77,1,1,1,0,0,0,0.35,0.25,0.6666666666666666,0.16666666666666666,2.5620915032679736,14.599483333333334,-4.82555,1.8479333333333336,2.4842833333333334,TRENDING_UP,39
MODEL_C,2021-02-16,196,20,20,6,6,0.5,4.51445,0.3333333333333333,5.885433333333334,0.1875,0.046875,0.03669724770642202,0.01834862385321101,64,109,0.17647058823529413,0.058823529411764705,0.03296703296703297,0.01098901098901099,51,91,0.2,0.06666666666666667,0.03896103896103896,0.012987012987012988,45,77,1,1,1,0,0,0,0.45,0.15,0.5,0.16666666666666666,1.9215686274509802,12.188416666666663,-5.642716666666666,1.4774000000000003,1.4834666666666667,TRENDING_UP,39
MODEL_A,2021-02-17,196,20,0,6,0,0.8333333333333334,5.071716666666666,,,0.15873015873015872,0.07936507936507936,0.0,0.0,63,101,0.16326530612244897,0.061224489795918366,0.0,0.0,49,72,0.13636363636363635,0.06818181818181818,0.0,0.0,44,47,0,1,1,0,0,0,0.4,0.0,0.5,0.0,2.0,11.9852,-4.700516666666666,2.0094500000000006,3.714283333333334,TRENDING_UP,34
MODEL_B,2021-02-17,196,20,20,6,6,1.0,7.788566666666667,0.16666666666666666,4.937683333333333,0.23809523809523808,0.09523809523809523,0.06930693069306931,0.009900990099009901,63,101,0.2653061224489796,0.12244897959183673,0.05555555555555555,0.0,49,72,0.2727272727272727,0.11363636363636363,0.06382978723404255,0.0,44,47,0,1,1,0,0,0,0.65,0.2,1.0,0.0,4.0,15.53075,-3.2594833333333333,3.4098666666666664,5.6742333333333335,TRENDING_UP,34
MODEL_C,2021-02-17,196,20,20,6,6,1.0,7.2502,0.3333333333333333,4.116183333333333,0.1746031746031746,0.09523809523809523,0.04950495049504951,0.019801980198019802,63,101,0.1836734693877551,0.10204081632653061,0.05555555555555555,0.013888888888888888,49,72,0.18181818181818182,0.09090909090909091,0.0851063829787234,0.02127659574468085,44,47,0,1,1,0,0,0,0.45,0.2,0.8333333333333334,0.16666666666666666,3.3333333333333335,14.694916666666664,-2.99565,2.1618166666666667,6.024000000000001,TRENDING_UP,34
MODEL_A,2021-02-18,196,20,0,6,0,0.5,4.357099999999999,,,0.12857142857142856,0.04285714285714286,0.0,0.0,70,90,0.13559322033898305,0.03389830508474576,0.0,0.0,59,58,0.13043478260869565,0.043478260869565216,0.0,0.0,46,36,0,1,1,0,0,0,0.4,0.0,0.3333333333333333,0.0,1.1073446327683616,11.905466666666667,-6.1825166666666656,1.3922166666666669,3.564016666666666,TRENDING_UP,36
MODEL_B,2021-02-18,196,20,20,6,6,0.6666666666666666,2.5968166666666668,0.5,0.7676166666666666,0.14285714285714285,0.04285714285714286,0.13333333333333333,0.03333333333333333,70,90,0.15254237288135594,0.05084745762711865,0.15517241379310345,0.034482758620689655,59,58,0.1956521739130435,0.06521739130434782,0.2222222222222222,0.027777777777777776,46,36,0,0,0,0,0,0,0.45,0.45,0.5,0.3333333333333333,1.6610169491525424,4.832083333333333,-4.9860999999999995,-1.5234333333333334,-0.7089333333333334,TRENDING_UP,36
MODEL_C,2021-02-18,196,20,20,6,6,0.3333333333333333,-0.3391,0.5,0.7676166666666666,0.12857142857142856,0.02857142857142857,0.15555555555555556,0.03333333333333333,70,90,0.13559322033898305,0.01694915254237288,0.1724137931034483,0.034482758620689655,59,58,0.15217391304347827,0.021739130434782608,0.19444444444444445,0.027777777777777776,46,36,0,0,0,0,0,0,0.4,0.5,0.16666666666666666,0.3333333333333333,0.5536723163841808,5.8091,-7.889633333333333,-1.7647333333333333,-4.167233333333333,TRENDING_UP,36
MODEL_A,2021-02-19,196,20,0,6,0,0.5,-2.2447166666666667,,,0.14285714285714285,0.031746031746031744,0.0,0.0,63,89,0.15384615384615385,0.019230769230769232,0.0,0.0,52,74,0.16666666666666666,0.023809523809523808,0.0,0.0,42,51,0,0,0,0,0,0,0.4,0.0,0.16666666666666666,0.0,0.6282051282051281,7.558600000000001,-5.080766666666666,-0.9424999999999998,1.3319000000000003,TRENDING_UP,34
