date,direction,regime,top5_n,top5_dir_acc,top5_ge1,top5_ge2,top5_ge3,top5_avg_ret,rem15_n,rem15_dir_acc,rem15_ge2,rem15_avg_ret,top5_better,c2_rank1_symbol,c2_rank1_ret
2026-06-10,UP,RANGE,5,0.6,0.4,0.4,0.0,0.5735,15,0.1333,0.0667,-1.9396,True,BEML.NS,-2.4399
2026-06-10,DOWN,RANGE,5,1.0,0.8,0.6,0.4,-2.5088,15,0.6667,0.2,-0.5312,True,STLTECH.NS,-2.3955
2026-06-11,UP,RANGE,5,1.0,0.8,0.8,0.4,4.9146,15,0.7333,0.4667,1.6797,True,DATAPATTNS.NS,8.1023
2026-06-11,DOWN,RANGE,5,0.4,0.4,0.4,0.2,-0.5746,15,0.2,0.0,2.0306,True,RAJESHEXPO.NS,-4.9981
2026-06-12,UP,RANGE,5,1.0,1.0,0.8,0.6,3.3571,15,0.6,0.1333,0.1133,True,SHRIRAMFIN.NS,4.7856
2026-06-12,DOWN,RANGE,5,0.4,0.2,0.0,0.0,0.9368,15,0.2667,0.0667,1.5248,True,RAJESHEXPO.NS,4.9993
2026-06-15,UP,RANGE,5,0.6,0.0,0.0,0.0,-0.7356,15,0.6667,0.2667,0.9201,False,ASHOKLEY.NS,0.5073
2026-06-15,DOWN,RANGE,5,0.4,0.2,0.2,0.0,0.459,15,0.1333,0.0667,2.3053,True,JPPOWER.NS,-2.7071
2026-06-16,UP,RANGE,5,0.8,0.2,0.2,0.0,0.6679,15,0.6667,0.2,0.8493,True,COFORGE.NS,0.0614
2026-06-16,DOWN,RANGE,5,0.6,0.2,0.0,0.0,0.6277,15,0.2667,0.0,1.6448,True,STLTECH.NS,-1.2966
2026-06-17,UP,RANGE,5,0.8,0.4,0.4,0.4,1.7412,15,0.6667,0.1333,1.0215,True,RAJESHEXPO.NS,4.9972
2026-06-17,DOWN,RANGE,5,1.0,0.6,0.0,0.0,-0.7191,15,0.3333,0.0,0.6988,True,TECHM.NS,-1.0052
2026-06-18,UP,RANGE,5,0.8,0.8,0.4,0.4,2.3603,15,0.2667,0.1333,-0.2321,True,RAJESHEXPO.NS,4.9962
2026-06-18,DOWN,RANGE,5,0.8,0.8,0.8,0.2,-2.4371,15,0.4,0.0667,0.8814,True,MPHASIS.NS,-2.9573
2026-06-19,UP,RANGE,5,0.6,0.4,0.4,0.2,1.3789,15,0.6,0.2,-0.4659,False,RAJESHEXPO.NS,4.9944
2026-06-19,DOWN,RANGE,5,0.4,0.2,0.2,0.0,1.0692,15,0.1333,0.0667,1.9054,True,CENTUM.NS,4.6454
2026-06-22,UP,RANGE,5,0.2,0.2,0.2,0.2,-0.0012,15,0.1333,0.0,-1.5653,True,RAJESHEXPO.NS,4.9912
2026-06-22,DOWN,RANGE,5,0.8,0.6,0.6,0.6,-2.5794,15,0.9333,0.2667,-1.4423,False,NATIONALUM.NS,-5.9664
2026-06-23,UP,RANGE,5,0.4,0.0,0.0,0.0,-0.8481,15,0.2667,0.0,-1.4617,True,ERIS.NS,0.3696
2026-06-23,DOWN,RANGE,5,0.6,0.2,0.2,0.2,-0.7956,15,0.2667,0.0,1.059,True,WIPRO.NS,-0.0057
2026-06-24,UP,RANGE,5,0.4,0.2,0.2,0.2,0.1479,15,0.4,0.1333,-0.2452,False,NOCIL.NS,-0.8072
2026-06-24,DOWN,RANGE,5,1.0,0.8,0.8,0.8,-3.2915,15,0.5333,0.2,-0.1675,True,HINDZINC.NS,-4.41
2026-06-25,UP,RANGE,5,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,False,OFSS.NS,0.0
