date,symbol,direction,actual_move,v3_score,c2_score,c2_rank,selected_top5,regime,miss_type,miss_reason
2026-06-08,CANBK.NS,UP,4.2453,0.7859,-0.3866,18,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-08,RECLTD.NS,UP,2.5335,0.7597,0.2475,14,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-08,UNIONBANK.NS,UP,3.1844,0.759,0.2785,13,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-09,MRPL.NS,UP,2.0457,0.9113,0.2931,10,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-09,COROMANDEL.NS,UP,4.0728,0.7596,0.4648,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-10,JINDALPOLY.NS,UP,4.476,0.9686,-0.8424,17,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-11,DEEPAKFERT.NS,UP,3.5296,0.8512,1.4917,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,COROMANDEL.NS,UP,2.7391,0.8425,0.5575,18,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,NAVINFLUOR.NS,UP,2.04,0.7932,0.6427,17,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,AXISBANK.NS,UP,2.9606,0.7165,1.1159,11,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,CERA.NS,UP,4.9449,0.701,1.1188,9,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,KOTAKBANK.NS,UP,2.5296,0.6985,1.1186,10,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-11,COLPAL.NS,UP,2.4845,0.6883,0.6606,16,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-12,IDFCFIRSTB.NS,UP,2.3922,0.7829,1.9608,9,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-12,COROMANDEL.NS,UP,3.6312,0.7762,1.0017,15,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-15,PRESTIGE.NS,UP,3.3005,0.8938,0.3735,14,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-15,COROMANDEL.NS,UP,3.6953,0.8553,0.438,13,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-15,DLF.NS,UP,2.4168,0.8442,0.5778,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-15,RATEGAIN.NS,UP,2.4013,0.844,0.6306,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-16,GNFC.NS,UP,4.328,0.8346,0.513,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-16,RATEGAIN.NS,UP,4.9565,0.8036,0.0829,14,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-16,TEJASNET.NS,UP,3.5432,0.7543,0.3612,10,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-17,OLECTRA.NS,UP,6.768,0.8553,0.4059,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-17,STLTECH.NS,UP,4.9627,0.8139,-0.0487,15,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-18,PARAS.NS,UP,7.5059,0.9913,-0.4045,10,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-18,OLECTRA.NS,UP,5.0947,0.9687,-0.1866,7,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-19,GNFC.NS,UP,2.4399,0.8682,0.0264,16,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-19,SAPPHIRE.NS,UP,2.177,0.8349,-0.5802,20,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-19,SOLARINDS.NS,UP,2.1549,0.8019,0.4875,12,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-24,OFSS.NS,UP,4.8335,0.9063,0.3391,14,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-24,M&MFIN.NS,UP,5.6941,0.794,0.4504,10,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-29,ONMOBILE.NS,UP,2.0425,0.9555,0.4484,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-29,GRANULES.NS,UP,2.3213,0.8091,0.3963,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-30,ONMOBILE.NS,UP,5.3539,0.9637,-0.6509,17,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-30,BEML.NS,UP,3.7094,0.7647,0.4033,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-01,ONMOBILE.NS,UP,19.9876,0.972,0.5561,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-01,RATEGAIN.NS,UP,4.6791,0.9217,0.67,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-01,BEML.NS,UP,2.2621,0.8865,0.2191,12,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-01,ZYDUSWELL.NS,UP,4.5646,0.8065,0.0,16,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-02,MAPMYINDIA.NS,UP,2.6248,0.9786,0.2406,18,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-02,DLF.NS,UP,2.6892,0.8357,0.4558,11,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-08,ALKYLAMINE.NS,UP,5.4489,0.925,0.0755,10,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-08,MAPMYINDIA.NS,UP,14.7888,0.818,-0.1557,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-08,INDUSINDBK.NS,UP,2.061,0.8058,0.1257,8,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-09,JINDALPOLY.NS,UP,4.9993,0.9405,1.5495,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-09,SUDARSCHEM.NS,UP,6.0831,0.8802,-0.1009,20,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-09,ADANIENSOL.NS,UP,2.1934,0.8207,1.0195,11,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-09,MUTHOOTFIN.NS,UP,2.3549,0.8061,1.2625,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-09,AMBER.NS,UP,2.3485,0.7698,0.4671,17,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-10,KALYANKJIL.NS,UP,7.2456,0.9874,-1.1866,18,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-10,MAPMYINDIA.NS,UP,9.3737,0.9485,-1.4077,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-10,SUDARSCHEM.NS,UP,3.8829,0.9367,-0.9257,14,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-10,PERSISTENT.NS,UP,2.7405,0.9108,-1.0586,15,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-10,KPITTECH.NS,UP,2.0828,0.7808,-0.3115,9,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-13,SUDARSCHEM.NS,UP,2.7118,0.9381,-0.7707,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-15,DEEPAKNTR.NS,UP,2.64,0.8871,0.4714,14,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-16,KALYANKJIL.NS,UP,5.086,0.9596,-0.8416,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-20,MRPL.NS,UP,3.1535,0.7527,0.3393,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-22,BAJAJ-AUTO.NS,UP,2.5913,0.7917,0.0091,8,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-23,STLTECH.NS,UP,2.7876,0.7638,-3.7442,20,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-24,PARAS.NS,UP,2.1837,0.7246,0.502,12,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-27,LAURUSLABS.NS,UP,2.6555,0.8775,-0.0233,14,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-27,KPITTECH.NS,UP,2.9477,0.861,0.3076,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-27,M&MFIN.NS,UP,2.8926,0.8277,-0.303,18,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-27,LTTS.NS,UP,2.893,0.7547,0.3402,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-28,ATUL.NS,UP,2.2331,0.899,1.4737,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-28,KPITTECH.NS,UP,6.0254,0.8734,1.2532,9,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-28,M&MFIN.NS,UP,5.4217,0.8034,0.4016,17,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-28,TVSMOTOR.NS,UP,2.0558,0.7924,0.4883,15,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-05-14,TEJASNET.NS,DOWN,-2.6853,0.8975,-0.0982,11,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-14,KALYANKJIL.NS,DOWN,-2.2022,0.7757,-0.0,8,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-05-14,BEML.NS,DOWN,-2.4708,0.7742,-0.5236,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-14,PARAS.NS,DOWN,-3.7988,0.7219,-0.498,14,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-14,HFCL.NS,DOWN,-2.4408,0.7138,-0.6927,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-15,TEJASNET.NS,DOWN,-2.0303,0.8882,1.0768,9,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-05-15,GRSE.NS,DOWN,-3.8795,0.8424,1.1393,8,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-05-15,OLECTRA.NS,DOWN,-2.6662,0.8053,1.4543,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-05-15,JYOTHYLAB.NS,DOWN,-2.0064,0.798,0.3192,15,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-05-15,CLEAN.NS,DOWN,-2.4653,0.736,-0.0,19,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-05-19,MAPMYINDIA.NS,DOWN,-5.6538,0.8355,-1.3863,20,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-21,MAPMYINDIA.NS,DOWN,-3.9288,0.8773,-0.1172,9,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
