date,close,high,low,open,volume,vix,atr,ema_fast,ema_slow,trend_strength,ret_1d,ret_5d,ret_10d,ret_21d,abs_move_5d,abs_move_10d,regime,vix_bucket,direction
2025-12-19,25966.400390625,25993.349609375,25880.44921875,25911.5,382900,9.520000457763672,,25966.400390625,25966.400390625,,0.7933329106115661,-0.09358548310289816,1.093337491350943,-3.1151810742202413,0.09358548310289816,1.093337491350943,RANGING,LOW,NEUTRAL
2025-12-22,26172.400390625,26180.69921875,26047.80078125,26055.849609375,253000,9.680000305175781,,25986.019438244046,25974.47882199755,,0.018148889399149937,-0.8923552206302698,0.024066681049461636,-3.371872609422988,0.8923552206302698,0.024066681049461636,RANGING,LOW,NEUTRAL
2025-12-23,26177.150390625,26233.55078125,26119.05078125,26205.19921875,216600,9.380000114440918,,26004.222386089852,25982.426726649606,,-0.13389838361685946,-0.1816499524983861,-0.1390540608195323,-4.311011638624185,0.1816499524983861,0.1390540608195323,RANGING,LOW,NEUTRAL
2025-12-24,26142.099609375,26236.400390625,26123.0,26170.650390625,188800,9.1899995803833,,26017.353550212247,25988.68840832511,,-0.3817552133005053,0.01702683388675741,-1.014646887447701,-3.6978637263065384,0.01702683388675741,1.014646887447701,RANGING,LOW,NEUTRAL
2025-12-26,26042.30078125,26144.19921875,26008.599609375,26121.25,142200,9.149999618530273,,26019.729476977747,25990.790854322167,,-0.3847631310177624,1.099173235131734,-1.3785264328813551,-2.6862095907964623,1.099173235131734,1.3785264328813551,RANGING,LOW,NEUTRAL
2025-12-29,25942.099609375,26106.80078125,25920.30078125,26063.349609375,234300,9.720000267028809,,26012.336156253677,25988.881393736003,,-0.012527898855285713,1.1880348025632426,-0.5853404761429704,-2.016795967281404,1.1880348025632426,0.5853404761429704,RANGING,LOW,NEUTRAL
2025-12-30,25938.849609375,25976.75,25878.0,25940.900390625,396900,9.680000305175781,,26005.337437503327,25986.919362976747,,0.7353834224439026,0.924673271895271,-0.7962913977894726,-2.3832946644116615,0.924673271895271,0.7962913977894726,RANGING,LOW,NEUTRAL
2025-12-31,26129.599609375,26187.94921875,25969.0,25971.05078125,246300,9.479999542236328,,26017.171930062534,25992.51466675707,,0.06487344669803274,0.04267340790402585,-1.7757639111834034,-3.984749993553016,0.04267340790402585,1.7757639111834034,RANGING,LOW,NEUTRAL
2026-01-01,26146.55078125,26197.55078125,26113.400390625,26173.30078125,425600,9.479999542236328,,26029.493725413722,25998.555298697967,,0.6960765170238581,-1.0314980898681547,-1.7294869050157091,-1.6025058276538329,1.0314980898681547,1.7294869050157091,RANGING,LOW,NEUTRAL
2026-01-02,26328.55078125,26340.0,26118.400390625,26155.099609375,357500,9.449999809265137,,26057.97534977908,26011.496298013735,,-0.2972058760474017,-2.4507615529659854,-2.8222243883592957,-2.0986752588125768,2.4507615529659854,2.8222243883592957,RANGING,LOW,NEUTRAL
