date,close,high,low,open,volume,vix,atr,ema_fast,ema_slow,trend_strength,ret_1d,ret_5d,ret_10d,ret_21d,abs_move_5d,abs_move_10d,regime,vix_bucket,direction
2024-06-19,51398.05078125,51957.0,50441.75,50607.8984375,435300,13.710000038146973,,51398.05078125,51398.05078125,,0.7494432432650244,2.8647958363571924,3.29039563377167,1.6879059965567489,2.8647958363571924,3.29039563377167,RANGING,LOW,NEUTRAL
2024-06-20,51783.25,51842.19921875,51281.5,51712.8984375,235900,13.350000381469727,,51434.73642113095,51413.156632965685,,-0.23521270150096418,1.9852959813260185,2.549954316791636,0.9600564613074791,1.9852959813260185,2.549954316791636,RANGING,LOW,NEUTRAL
2024-06-21,51661.44921875,51934.3515625,51224.94921875,51927.30078125,289400,13.180000305175781,,51456.328116142286,51422.89359711409,,0.08226637200989817,1.3178120078809474,1.933554630882206,0.22618715554265645,1.3178120078809474,1.933554630882206,RANGING,LOW,NEUTRAL
2024-06-24,51703.94921875,51783.94921875,51138.8984375,51280.25,176600,14.0600004196167,,51479.9110782954,51433.91538619785,,1.7446458053592462,1.684205547947215,1.3961246160249408,-0.7483939323723376,1.684205547947215,1.3961246160249408,RANGING,MEDIUM,NEUTRAL
2024-06-25,52606.0,52746.5,51747.6484375,51759.44921875,204000,14.3100004196167,,51587.157642267266,51479.879488699895,,0.502794358058023,-0.8324115832794687,-0.07071288208568838,-3.264361479679123,0.8324115832794687,0.07071288208568838,RANGING,MEDIUM,NEUTRAL
2024-06-26,52870.5,52988.30078125,52373.69921875,52653.19921875,214300,14.050000190734863,,51709.3807239561,51534.41362639794,,-0.11197022678053337,0.41374679641765777,-1.2884296890515512,-2.9781272756073784,0.41374679641765777,1.2884296890515512,RANGING,MEDIUM,NEUTRAL
2024-06-27,52811.30078125,53180.75,52639.0,52980.30078125,332900,14.149999618530273,,51814.325491317424,51584.48763247057,,-0.8881636587457997,0.5536664183128925,-1.0237436604514594,-2.660511595936388,0.5536664183128925,1.0237436604514594,RANGING,MEDIUM,NEUTRAL
2024-06-28,52342.25,53030.30078125,52242.30078125,52874.94921875,244600,13.800000190734863,,51864.60401595386,51614.20380374623,,0.4441918335570172,0.6077338335665816,-0.12103331916377691,-1.6104565981592267,0.6077338335665816,0.12103331916377691,RANGING,LOW,NEUTRAL
2024-07-01,52574.75,52656.1484375,52166.05078125,52351.1484375,0,13.829999923706055,,51932.2369668154,51651.872282030694,,-0.773467182440235,-0.2833094189701346,-0.22606205925848055,-1.9426655618904554,0.2833094189701346,0.22606205925848055,RANGING,LOW,BULL
2024-07-02,52168.1015625,52828.44921875,51996.6484375,52793.75,0,13.640000343322754,,51954.7002616425,51672.11656753929,,1.7657311842111278,0.7680923912286586,0.4383889999830748,-1.1579903128662972,0.7680923912286586,0.4383889999830748,RANGING,LOW,BULL
2024-07-03,53089.25,53256.69921875,52482.6484375,52872.30078125,0,13.210000038146973,,52062.752617676546,51727.69042763579,,0.027216844747290914,-1.6951628036749433,-0.8825718601223387,-3.2758073668398002,1.6951628036749433,0.8825718601223387,RANGING,LOW,BULL
2024-07-04,53103.69921875,53357.69921875,52815.8984375,53357.69921875,163700,12.859999656677246,,52161.89038920735,51781.65155669909,,-0.8348715113493665,-1.5687245775824699,-1.5782283881912385,-5.671163592284467,1.5687245775824699,1.5782283881912385,RANGING,LOW,BULL
2024-07-05,52660.3515625,52817.8515625,52290.05078125,52560.1015625,199600,12.699999809265137,,52209.36288190189,51816.11038045599,,-0.4454029916067359,-0.7243649418999243,-0.7215164990857503,-5.529873414904629,0.7243649418999243,0.7215164990857503,RANGING,LOW,BULL
2024-07-08,52425.80078125,52710.80078125,52246.69921875,52533.1015625,158000,13.600000381469727,760.5251116071429,52229.976015173146,51840.01980793811,,0.2727664582495848,0.057410007670810614,-1.2350788931231316,-4.400125027894708,0.057410007670810614,1.2350788931231316,RANGING,LOW,BULL
2024-07-09,52568.80078125,52626.6015625,52292.94921875,52390.5,145100,14.279999732971191,676.1252790178571,52262.2450405138,51868.599453950344,0.5487,-0.7219110848261101,-0.32719026769457704,-2.3812618181248024,-4.588466022912085,0.32719026769457704,2.3812618181248024,RANGING,MEDIUM,BULL
2024-07-10,52189.30078125,52528.80078125,52075.3984375,52528.80078125,228000,14.430000305175781,671.318359375,52255.29796820296,51881.17597658955,0.5173,0.15587037004187732,0.8266032137663526,-2.4919873648072466,-3.2665714154623826,0.8266032137663526,2.4919873648072466,RANGING,MEDIUM,BULL
2024-07-11,52270.6484375,52400.30078125,51749.44921875,52316.8984375,138300,14.0,667.1361607142857,52256.75991765982,51896.44940642917,0.5256,0.015783236379518506,-0.009655275285203047,-1.8647161416324276,-3.2383359865412076,0.009655275285203047,1.8647161416324276,RANGING,MEDIUM,BULL
