date,close,high,low,open,volume,vix,atr,ema_fast,ema_slow,trend_strength,ret_1d,ret_5d,ret_10d,ret_21d,abs_move_5d,abs_move_10d,regime,vix_bucket,direction
2024-06-19,23516.0,23664.0,23412.900390625,23629.849609375,328800,13.710000038146973,,23516.0,23516.0,,0.21687361796223215,1.5002584676390596,3.2764926007824435,4.315786658551635,1.5002584676390596,3.2764926007824435,RANGING,LOW,NEUTRAL
2024-06-20,23567.0,23624.0,23442.599609375,23586.150390625,280300,13.350000381469727,,23520.857142857145,23518.000000000004,,-0.279629951309035,2.0261382441549625,3.1194059092162663,3.998175414774896,2.0261382441549625,3.1194059092162663,RANGING,LOW,NEUTRAL
2024-06-21,23501.099609375,23667.099609375,23398.19921875,23661.150390625,609900,13.180000305175781,,23518.9754730017,23517.33723958334,,0.156375661610908,2.167983662333617,3.500900016064734,4.161299633336646,2.167983662333617,3.500900016064734,RANGING,LOW,NEUTRAL
2024-06-24,23537.849609375,23558.099609375,23350.0,23382.30078125,239400,14.0600004196167,,23520.77300979916,23518.141646241835,,0.7793879853915442,2.5665029703239695,3.3252875044424313,3.720180072338608,2.5665029703239695,3.3252875044424313,RANGING,MEDIUM,NEUTRAL
2024-06-25,23721.30078125,23754.150390625,23562.05078125,23577.099609375,298100,14.3100004196167,,23539.87089279448,23526.108671144117,,0.6218040121837909,1.6969930605289063,3.001093591219517,2.8868519245212942,1.6969930605289063,3.001093591219517,RANGING,MEDIUM,NEUTRAL
2024-06-26,23868.80078125,23889.900390625,23670.44921875,23723.099609375,287800,14.050000190734863,,23571.197548837863,23539.54757742278,,0.7361040898544724,1.7499799113415149,1.9089708011553297,4.047328715751286,1.7499799113415149,1.9089708011553297,RANGING,MEDIUM,NEUTRAL
2024-06-27,24044.5,24087.44921875,23805.400390625,23881.55078125,515200,14.149999618530273,,23616.273972758067,23559.349633210124,,-0.14099020825968367,1.0715564500197505,1.128945158976058,3.2922273674852898,1.0715564500197505,1.128945158976058,RANGING,MEDIUM,NEUTRAL
2024-06-28,24010.599609375,24174.0,23985.80078125,24085.900390625,354800,13.800000190734863,,23653.82879529301,23577.04571070679,,0.5470484349075377,1.3046321420381757,2.0472240978858025,3.526364129383941,1.3046321420381757,2.0472240978858025,RANGING,LOW,NEUTRAL
2024-07-01,24141.94921875,24164.0,23992.69921875,23992.94921875,0,13.829999923706055,,23700.316454669868,23599.19878945358,,-0.07497161563467802,0.7397976065714129,1.8422290427758004,3.351846880891163,0.7397976065714129,1.8422290427758004,RANGING,LOW,NEUTRAL
2024-07-02,24123.849609375,24236.349609375,24056.400390625,24228.75,0,13.640000343322754,,23740.652945594164,23619.773331411285,,0.6742306607722792,1.2823393213941214,2.02766307428357,3.6770697695996057,1.2823393213941214,2.02766307428357,RANGING,LOW,BULL
