date,close,high,low,open,volume,vix,atr,ema_fast,ema_slow,trend_strength,ret_1d,ret_5d,ret_10d,ret_21d,abs_move_5d,abs_move_10d,regime,vix_bucket,direction
2025-12-19,59069.19921875,59140.55078125,58897.5,59047.3984375,179100,9.520000457763672,,59069.19921875,59069.19921875,,0.397501209353579,-0.23167345767328706,1.6506064292310718,-0.4552261433309668,0.23167345767328706,1.6506064292310718,RANGING,LOW,NEUTRAL
2025-12-22,59304.0,59371.19921875,59155.5,59224.75,114800,9.680000305175781,,59091.561197916664,59078.40709252451,,-0.007502392334413077,-0.22384662080129347,1.3732605515648144,-0.17519634004451445,0.22384662080129347,1.3732605515648144,RANGING,LOW,NEUTRAL
2025-12-23,59299.55078125,59402.3515625,59216.75,59334.3515625,91800,9.380000114440918,,59111.3697296627,59087.079394043154,,-0.19553136106835733,0.47605888667079377,1.1657774336270021,-1.3936854628101458,0.47605888667079377,1.1657774336270021,RANGING,LOW,NEUTRAL
2025-12-24,59183.6015625,59478.1484375,59118.25,59322.94921875,82500,9.1899995803833,,59118.24895183768,59090.86457711989,,-0.29104345705980306,0.8920532120581859,0.8497259785194444,0.03691505023892816,0.8920532120581859,0.8497259785194444,RANGING,LOW,NEUTRAL
2025-12-26,59011.3515625,59180.6484375,58947.05078125,59092.8515625,72900,9.149999618530273,,59108.06824809124,59087.74641968382,,-0.13387254809158478,1.931149899258,0.40703900586922526,0.9954851112464747,1.931149899258,0.40703900586922526,RANGING,LOW,NEUTRAL
2025-12-29,58932.3515625,59140.3984375,58809.55078125,59007.05078125,106900,9.720000267028809,,59091.33332565397,59081.65250371583,,0.40537740505168784,1.8866507559448742,0.8792257966330874,1.7401307988065273,1.8866507559448742,0.8792257966330874,RANGING,LOW,NEUTRAL
2025-12-30,59171.25,59272.69921875,58737.6015625,58885.94921875,295700,9.680000305175781,,59098.94443749645,59085.16613102109,,0.6939207174092132,1.6006902634303044,0.6887648668060908,0.7422510404123672,1.6006902634303044,0.6887648668060908,RANGING,LOW,NEUTRAL
2025-12-31,59581.8515625,59766.19921875,59187.1015625,59194.6015625,122600,9.479999542236328,,59144.93559225869,59104.64399107909,,0.21768242400783677,0.6864506376928592,-0.0028584626951655423,-1.6160148388305595,0.6864506376928592,0.0028584626951655423,RANGING,LOW,NEUTRAL
2026-01-01,59711.55078125,59743.19921875,59569.6484375,59674.80078125,71800,9.479999542236328,,59198.89894359119,59128.4442573603,,0.7358684069514565,-0.041952990539084745,0.6424178424963234,0.5522382113437585,0.041952990539084745,0.6424178424963234,RANGING,LOW,NEUTRAL
2026-01-02,60150.94921875,60203.75,59738.25,59757.3984375,250400,9.449999809265137,,59289.570398368225,59168.54249114029,,-0.17747018357396893,-1.4952356516090393,-0.43157699025816454,0.14496731952289288,1.4952356516090393,0.43157699025816454,RANGING,LOW,NEUTRAL
2026-01-05,60044.19921875,60437.3515625,59859.80078125,60360.3984375,318500,10.020000457763672,,59361.43980983315,59202.881970654395,,0.12357433310032917,-0.9887703166580053,-1.065881481187525,0.032391503264350696,0.9887703166580053,1.065881481187525,RANGING,LOW,NEUTRAL
2026-01-06,60118.3984375,60305.0,59844.80078125,59957.80078125,295400,10.020000457763672,,59433.531107706185,59238.78457719736,,-0.2121594691724904,-0.8975582688067973,-2.192502945034891,0.003580174798289981,0.8975582688067973,2.192502945034891,RANGING,LOW,NEUTRAL
2026-01-07,59990.8515625,60065.3984375,59760.6484375,60039.69921875,376300,9.949999809265137,,59486.609246257976,59268.27740015041,,-0.5073299587736613,-0.6846095934679663,-1.3181176452815913,1.1310057822618624,0.6846095934679663,1.3181176452815913,RANGING,LOW,NEUTRAL
2026-01-08,59686.5,60112.8515625,59564.80078125,59893.1484375,312900,10.600000381469727,385.52120535714283,59505.646460900076,59284.678286419025,,-0.7287229419550512,0.6846580675697211,-2.0329529081115516,1.5747253357124347,0.6846580675697211,2.0329529081115516,RANGING,LOW,NEUTRAL
2026-01-09,59251.55078125,59739.6484375,59154.19921875,59558.1484375,272500,10.930000305175781,409.97823660714283,59481.44687236198,59283.37916856926,0.5133,0.3357704838553577,1.0798042799117225,-0.07780650783335563,2.5211167666563616,1.0798042799117225,0.07780650783335563,RANGING,LOW,NEUTRAL
