model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,avg_ret,fp_rate,lift,vs_A_dir_delta,vs_A_ge2_delta
B1_Strict_Top5,DOWN,TRAIN,535,0.6131,0.3682,0.2075,0.0841,1.7352,1.9707,0.9555,0.6083,0.1738,1.476,0.0,0.0
B2_Backfill_Top5,DOWN,TRAIN,535,0.6131,0.3682,0.2075,0.0841,1.7352,1.9707,0.9555,0.6083,0.1738,1.476,0.0,0.0
C_Strat_Top5,DOWN,TRAIN,535,0.6131,0.3682,0.2075,0.0841,1.7352,1.9707,0.9555,0.6083,0.1738,1.476,0.0,0.0
A_KN_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.555,0.176,1.3776,-0.0041,-0.0159
B1_Strict_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.555,0.176,1.3776,-0.0041,-0.0159
B2_Backfill_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.555,0.176,1.3776,-0.0041,-0.0159
C_Strat_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.555,0.176,1.3776,-0.0041,-0.0159
V3_20,DOWN,VAL,1058,0.4849,0.3336,0.2089,0.1352,2.1651,1.7717,1.7914,-0.006,0.3289,1.0,-0.0849,-0.093
A_KN_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.7052,0.2528,1.5726,0.0,0.0
B1_Strict_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.7052,0.2528,1.5726,0.0,0.0
B2_Backfill_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.7052,0.2528,1.5726,0.0,0.0
