direction,n_total,n_strategy_pass,n_strategy_reject,n_strategy_unavail,n_strategy_aligned,model_a_n,model_a_dir_acc,model_a_ge2,model_a_avg_mfe,model_b_n,model_b_dir_acc,model_b_ge2,model_b_avg_mfe,strategy_question_status
UP,5,5,0,0,N/A,5,0.2,0.0,3.7657,5,0.2,0.0,3.7657,INSUFFICIENT
DOWN,5,N/A,N/A,0,0,5,0.6,0.2,4.8383,5,0.6,0.2,4.8383,INSUFFICIENT
