split,trading_date,symbol,direction,regime,reject_reason,C2_score,gap_pct,t1_ret_pct,dir_adj_ret,mfe_pct,mae_pct,outcome,rejection_class
VAL,2026-03-16,RATEGAIN.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.0580380071905535,1.0580380071905535,-0.8629,-0.8629,1.0580380071905535,1.4689265536723115,BAD,CORRECT_REJECTION
VAL,2026-03-16,WELCORP.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.0555415933651835,1.0555415933651835,2.3373,2.3373,2.588590098014576,0.0251319426991636,STRONG,FALSE_REJECTION
VAL,2026-03-17,MOIL.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.4614480094070403,1.4614480094070403,-1.3439,-1.3439,2.603729212161942,4.686712581891483,BAD,CORRECT_REJECTION
VAL,2026-03-17,JPPOWER.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,4.4349070100143,4.4349070100143,7.2961,7.2961,11.802575107296144,-3.719599427753928,STRONG,FALSE_REJECTION
VAL,2026-03-17,IDEAFORGE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.2649572649572782,1.2649572649572782,-1.3675,-1.3675,2.91737891737891,2.6210826210826266,BAD,CORRECT_REJECTION
VAL,2026-03-17,RECLTD.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.214095350903177,1.214095350903177,3.0649,3.0649,3.390583358010057,-0.503405389398881,STRONG,FALSE_REJECTION
VAL,2026-03-17,AJANTPHARM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.9699993057670886,0.9699993057670886,1.1918,1.1918,3.095411405170778,-0.2880189270999533,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-18,MANAPPURAM.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.518518518518507,-0.518518518518507,-2.1667,-2.1667,1.2037037037037068,2.703703703703708,BAD,CORRECT_REJECTION
VAL,2026-03-18,KPITTECH.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-1.1986923356338552,-1.1986923356338552,-4.2644,-4.2644,-1.1986923356338552,4.831093352706139,BAD,CORRECT_REJECTION
VAL,2026-03-18,IDEAFORGE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-1.224725592143272,-1.224725592143272,-2.0451,-2.0451,0.2888503755054783,2.68053148469094,BAD,CORRECT_REJECTION
VAL,2026-03-18,MRPL.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-1.0674303566779564,-1.0674303566779564,-3.7855,-3.7855,1.7443374121322464,4.191616766467076,BAD,CORRECT_REJECTION
