track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,UP,VAL,265,0.5585,0.4151,0.3019,0.234,2.9777,2.9738,1.7939,0.3057,1.2483,0.3774,0.0476,0.1204
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,UP,VAL,318,0.5692,0.434,0.2987,0.2296,2.9694,2.9729,1.7717,0.305,1.2815,0.434,0.0329,0.1011
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,UP,VAL,265,0.5547,0.4151,0.2717,0.2038,2.958,3.2589,1.7092,0.3094,1.5309,0.4906,0.1435,0.1204
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,UP,VAL,318,0.566,0.4182,0.2767,0.2075,2.8234,3.1611,1.6526,0.2925,1.4705,0.5472,0.1652,0.1134
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,UP,OOS,270,0.4963,0.3185,0.1963,0.1444,2.422,2.4675,1.4114,0.2815,1.2581,0.3962,-0.0449,0.054
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,UP,OOS,324,0.4877,0.3117,0.2006,0.1512,2.4487,2.4405,1.4209,0.2747,1.2197,0.4717,-0.0375,0.0498
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,UP,OOS,270,0.5037,0.3185,0.1926,0.1185,2.2415,2.2118,1.7117,0.2815,1.1307,0.3019,0.0066,0.0798
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,UP,OOS,324,0.5031,0.3272,0.1944,0.1265,2.3354,2.251,1.6908,0.2901,1.1681,0.3962,-0.0073,0.0272
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,UP,OOS,270,0.4926,0.3111,0.2037,0.137,2.366,2.4471,1.5104,0.2778,1.2321,0.3396,0.0375,0.029
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,UP,OOS,324,0.4877,0.3025,0.2006,0.1389,2.4011,2.3973,1.5259,0.287,1.1704,0.4151,0.0452,0.029
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,UP,OOS,270,0.5481,0.363,0.2407,0.1963,2.7178,2.9841,1.2174,0.2444,1.5767,0.5094,0.1206,0.1468
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,UP,OOS,324,0.5525,0.3488,0.2377,0.1852,2.5921,2.9034,1.2166,0.2438,1.5027,0.566,0.1448,0.1261
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5439,0.2822,0.1458,0.0654,1.4927,1.4765,1.5364,0.2411,1.0537,0.271,0.0363,0.0774
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5452,0.2835,0.1402,0.0623,1.4824,1.4867,1.5339,0.2352,1.0655,0.3084,0.0354,0.0897
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5495,0.2953,0.1607,0.0804,1.5654,1.557,1.564,0.2131,1.1043,0.3271,0.038,-0.0622
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5452,0.2991,0.1573,0.0732,1.5623,1.5321,1.568,0.2196,1.0917,0.4019,0.0524,-0.0555
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5551,0.2804,0.1402,0.0617,1.4603,1.4535,1.5637,0.2486,1.0871,0.271,0.0674,0.0592
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,DOWN,TRAIN,642,0.553,0.285,0.1371,0.0592,1.4499,1.4668,1.566,0.2383,1.0804,0.3271,0.0562,0.0727
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,DOWN,TRAIN,535,0.6,0.3514,0.1944,0.0785,1.6772,1.8839,1.1329,0.1963,1.3374,0.4112,0.2339,0.1694
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5966,0.338,0.1822,0.0732,1.6296,1.813,1.1641,0.204,1.29,0.4673,0.2447,0.1531
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,DOWN,VAL,265,0.5057,0.3547,0.2226,0.1472,2.1437,1.7967,1.839,0.3283,1.0064,0.2264,0.0125,0.2332
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,DOWN,VAL,318,0.5094,0.3491,0.2233,0.1541,2.1852,1.8129,1.8072,0.3239,1.0635,0.3208,0.0161,0.227
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,DOWN,VAL,265,0.4491,0.317,0.2113,0.117,2.1983,1.7078,1.8345,0.3094,0.7841,0.1887,-0.0082,-0.2213
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,DOWN,VAL,318,0.4403,0.3239,0.2233,0.1321,2.3721,1.7545,1.8409,0.327,0.7855,0.2453,-0.0222,-0.2421
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,DOWN,VAL,265,0.4717,0.3208,0.2038,0.1245,2.1761,1.7322,1.7651,0.3396,0.9993,0.2264,-0.0013,0.1222
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,DOWN,VAL,318,0.4591,0.3113,0.2013,0.1226,2.1955,1.7275,1.7886,0.3428,0.9222,0.2453,0.0077,0.1372
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,DOWN,VAL,265,0.5396,0.4,0.3019,0.2038,2.6222,2.2653,1.5523,0.283,1.3337,0.3962,0.5455,0.1014
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,DOWN,VAL,318,0.5314,0.3931,0.2799,0.1887,2.5076,2.1523,1.5685,0.2893,1.2282,0.3962,0.5714,0.1216
G1_Combo,G1_V3_Sector_Top5,PRE_MARKET,DOWN,OOS,270,0.5222,0.2963,0.163,0.0963,1.786,1.6868,1.3899,0.2407,1.1784,0.3585,-0.0061,0.077
G1_Combo,G1_V3_Sector_Top6,PRE_MARKET,DOWN,OOS,324,0.5154,0.3025,0.1698,0.0957,1.8213,1.6629,1.4248,0.25,1.205,0.4151,0.0156,0.0531
G1_Combo,G2_V3_InvKn_Top5,PRE_MARKET,DOWN,OOS,270,0.4778,0.2852,0.1519,0.0741,1.6049,1.5069,1.7337,0.2815,1.0429,0.2453,-0.0551,0.1475
G1_Combo,G2_V3_InvKn_Top6,PRE_MARKET,DOWN,OOS,324,0.4907,0.2932,0.1667,0.0833,1.6823,1.5518,1.6869,0.2778,1.112,0.3396,-0.0759,0.1206
G1_Combo,G3_V3_Sect_InvKn_Top5,PRE_MARKET,DOWN,OOS,270,0.4889,0.2815,0.1556,0.0889,1.7924,1.6617,1.4481,0.263,1.0769,0.3019,0.0691,0.027
G1_Combo,G3_V3_Sect_InvKn_Top6,PRE_MARKET,DOWN,OOS,324,0.5,0.287,0.1389,0.0802,1.6762,1.6183,1.4496,0.2531,1.0644,0.3585,0.0431,0.0606
G1_Combo,G4_V3_Gap_Top5,PRE_MARKET,DOWN,OOS,270,0.537,0.3519,0.2185,0.1296,2.0846,2.1397,1.2114,0.2556,1.5737,0.6038,0.3463,0.1851
G1_Combo,G4_V3_Gap_Top6,PRE_MARKET,DOWN,OOS,324,0.5216,0.3333,0.2037,0.1204,2.0002,2.0319,1.2919,0.2562,1.4168,0.6415,0.366,0.178
