track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
A1_Sector,A1_Top6,PRE_MARKET,UP,VAL,318,0.5535,0.4119,0.2862,0.2107,2.9312,2.9642,1.7262,0.305,1.2767,0.4717,0.0142,-0.0019
A1_Sector,A1_Top10,PRE_MARKET,UP,VAL,530,0.5358,0.3849,0.2377,0.1736,2.5904,2.6111,1.8146,0.3151,1.072,0.5283,0.0495,-0.0205
A1_Sector,A1_Low_Top5,PRE_MARKET,UP,VAL,265,0.4981,0.3774,0.2491,0.1849,2.8462,2.5156,2.0195,0.317,1.1128,0.3396,0.0049,0.0711
A1_Sector,A1_Top5,PRE_MARKET,UP,OOS,270,0.4963,0.3185,0.1963,0.1444,2.422,2.4675,1.4114,0.2815,1.2581,0.3962,-0.0563,-0.0203
A1_Sector,A1_Top6,PRE_MARKET,UP,OOS,324,0.4907,0.3117,0.2006,0.1512,2.437,2.4402,1.4084,0.2716,1.2277,0.4717,-0.0524,-0.0105
A1_Sector,A1_Top10,PRE_MARKET,UP,OOS,540,0.4796,0.3,0.1926,0.1296,2.2378,2.2172,1.4905,0.2778,1.0927,0.566,-0.0395,-0.0593
A1_Sector,A1_Low_Top5,PRE_MARKET,UP,OOS,270,0.5222,0.3,0.1852,0.1111,2.0793,2.2158,1.6385,0.3074,1.0937,0.3208,0.1534,0.0488
A1_Sector,A1_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5458,0.2822,0.1458,0.0654,1.4892,1.4773,1.5278,0.2393,1.0553,0.271,0.0482,0.0774
A1_Sector,A1_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5467,0.2835,0.1417,0.0623,1.4831,1.4894,1.5169,0.2336,1.0688,0.3084,0.0489,0.0921
A1_Sector,A1_Top10,PRE_MARKET,DOWN,TRAIN,1070,0.5374,0.2869,0.1308,0.0542,1.4412,1.4273,1.553,0.2514,1.0271,0.5421,0.0369,0.0579
A1_Sector,A1_Low_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5495,0.2841,0.1477,0.0692,1.5324,1.5214,1.4115,0.2224,1.0734,0.3178,-0.0062,0.0847
A1_Sector,A1_Top5,PRE_MARKET,DOWN,VAL,265,0.5057,0.3547,0.2226,0.1472,2.1437,1.7967,1.839,0.3283,1.0064,0.2264,-0.0198,0.2456
A1_Sector,A1_Top6,PRE_MARKET,DOWN,VAL,318,0.5094,0.3491,0.2233,0.1541,2.1852,1.8129,1.8072,0.3239,1.0635,0.3208,-0.0147,0.2408
A1_Sector,A1_Top10,PRE_MARKET,DOWN,VAL,530,0.4925,0.3396,0.2075,0.1321,2.1448,1.7497,1.7513,0.3189,1.0266,0.4717,-0.0165,0.2281
A1_Sector,A1_Low_Top5,PRE_MARKET,DOWN,VAL,265,0.4755,0.3434,0.2264,0.1472,2.3238,1.8449,1.9166,0.3321,1.1121,0.3585,-0.0208,0.1811
A1_Sector,A1_Top5,PRE_MARKET,DOWN,OOS,270,0.5185,0.2926,0.163,0.0963,1.7937,1.6845,1.3815,0.2407,1.1583,0.3396,0.0222,0.0041
A1_Sector,A1_Top6,PRE_MARKET,DOWN,OOS,324,0.5123,0.2994,0.1667,0.0957,1.8176,1.6566,1.4206,0.25,1.1817,0.3962,0.0339,0.0003
A1_Sector,A1_Top10,PRE_MARKET,DOWN,OOS,540,0.4815,0.2741,0.1444,0.0796,1.6774,1.5135,1.5834,0.2759,1.0594,0.5849,0.1002,-0.0195
A1_Sector,A1_Low_Top5,PRE_MARKET,DOWN,OOS,270,0.463,0.2815,0.137,0.0593,1.5509,1.4212,1.7793,0.3074,1.0513,0.283,0.0449,0.0655
D1_Gap,D1_Top5,POST_OPEN,UP,TRAIN,535,0.5327,0.3327,0.1907,0.1308,2.1966,2.4029,1.2985,0.2879,1.3852,0.4019,0.1999,-0.0283
D1_Gap,D1_Top6,POST_OPEN,UP,TRAIN,642,0.5125,0.3084,0.1776,0.1184,2.1386,2.2893,1.323,0.2897,1.3251,0.4766,0.1999,-0.0491
D1_Gap,D1_Low_Top5,POST_OPEN,UP,TRAIN,535,0.385,0.2093,0.1215,0.0673,1.7398,1.2952,2.1028,0.3626,0.7829,0.1682,0.1334,-0.0032
D1_Gap,D1_GAP_UP,POST_OPEN,UP,TRAIN,741,0.5587,0.3428,0.2024,0.1336,2.2062,2.5507,1.0283,0.2389,,,0.2456,0.2147
D1_Gap,D1_NO_GAP,POST_OPEN,UP,TRAIN,999,0.4134,0.2042,0.1051,0.0551,1.4538,1.3673,1.6128,0.3223,,,0.077,-0.0153
D1_Gap,D1_GAP_DOWN,POST_OPEN,UP,TRAIN,400,0.315,0.165,0.085,0.045,1.4996,0.7577,2.7033,0.46,,,0.2629,-0.2176
D1_Gap,D1_Top5,POST_OPEN,UP,VAL,265,0.5547,0.4151,0.2717,0.2038,2.958,3.2589,1.7092,0.3094,1.5309,0.4906,0.2329,-0.041
D1_Gap,D1_Top6,POST_OPEN,UP,VAL,318,0.566,0.4182,0.2767,0.2075,2.8234,3.1611,1.6526,0.2925,1.4705,0.5472,0.2537,-0.0144
D1_Gap,D1_Low_Top5,POST_OPEN,UP,VAL,265,0.4528,0.3283,0.2075,0.1698,2.9246,2.391,2.5114,0.3849,0.9871,0.3396,0.2573,-0.0788
D1_Gap,D1_GAP_UP,POST_OPEN,UP,VAL,459,0.6841,0.5251,0.3595,0.2375,2.7438,3.5385,0.788,0.1874,,,0.3611,0.3674
D1_Gap,D1_NO_GAP,POST_OPEN,UP,VAL,305,0.4852,0.3148,0.1607,0.1115,2.067,2.139,1.8703,0.3049,,,0.1595,0.0263
D1_Gap,D1_GAP_DOWN,POST_OPEN,UP,VAL,296,0.2736,0.1689,0.1047,0.0845,2.5233,1.0452,3.5181,0.5507,,,0.1775,-0.1767
D1_Gap,D1_Top5,POST_OPEN,UP,OOS,270,0.5481,0.363,0.2407,0.1963,2.7178,2.9841,1.2174,0.2444,1.5767,0.5094,0.1543,0.1046
D1_Gap,D1_Top6,POST_OPEN,UP,OOS,324,0.5525,0.3488,0.2377,0.1852,2.5921,2.9034,1.2166,0.2438,1.5027,0.566,0.1863,0.0938
D1_Gap,D1_Low_Top5,POST_OPEN,UP,OOS,270,0.3963,0.2407,0.1556,0.1,2.204,1.6231,2.2239,0.4,0.7677,0.2642,0.1502,-0.1241
D1_Gap,D1_GAP_UP,POST_OPEN,UP,OOS,458,0.6463,0.4301,0.2904,0.1943,2.4322,3.029,0.8557,0.1856,,,0.2395,0.2309
D1_Gap,D1_NO_GAP,POST_OPEN,UP,OOS,404,0.3589,0.1708,0.0817,0.0396,1.4762,1.436,1.6048,0.3069,,,0.0852,-0.0326
D1_Gap,D1_GAP_DOWN,POST_OPEN,UP,OOS,218,0.3486,0.1927,0.1055,0.0596,1.7442,1.1187,2.8401,0.4908,,,0.3261,-0.2837
D1_Gap,D1_Top5,POST_OPEN,DOWN,TRAIN,535,0.6,0.3514,0.1944,0.0785,1.6772,1.8839,1.1329,0.1963,1.3374,0.4112,0.2214,0.1226
