run_id,trade_date,t1_date,selection_timestamp,architecture_version,symbol,direction,universe_membership,v3_score,v3_rank,v3_model_version,pool_size,pool_rank,pool_direction,previous_close,opening_price,gap_pct,gap_rank,c2_score,c2_rank,selected_final_5,strategy_status,strategy_name,strategy_reason,strategy_regime,strategy_rejected,knowledge_strategy_disagreement,model_b_included,hypothetical_entry,t1_ret_pct,t3_ret_pct,t5_ret_pct,mfe_pct,mae_pct,direction_correct,ge1,ge2,ge3
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,SAIL.NS,UP,True,0.8885,3,V3_FINAL,20,3,UP,199.08,199.99,0.457103,13,0.457103,12,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,199.99,-3.7952,-0.47,-1.7301,1.0051,-5.8903,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,SOLARINDS.NS,UP,True,0.7617,18,V3_FINAL,20,18,UP,16665.0,16740.0,0.450045,14,0.450045,13,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,16740.0,3.4289,8.2198,9.8686,11.7025,-2.491,True,True,True,True
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,ALKYLAMINE.NS,UP,True,0.7629,17,V3_FINAL,20,17,UP,1750.0,1756.8,0.388571,15,0.388571,14,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,1756.8,-1.9467,0.5408,-0.8197,3.3925,-7.6958,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,IDEA.NS,UP,True,0.9544,1,V3_FINAL,20,1,UP,12.97,13.0,0.231303,17,0.231303,15,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,13.0,-0.3846,4.0,4.7692,6.7692,-4.2308,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,RATNAMANI.NS,UP,True,0.8339,5,V3_FINAL,20,5,UP,2888.6001,2888.6001,0.0,18,0.0,16,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,2888.6001,-6.7576,-12.3139,-12.4559,0.3808,-15.4435,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,NATIONALUM.NS,UP,True,0.7768,14,V3_FINAL,20,14,UP,416.45,416.45,0.0,19,0.0,17,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,416.45,-3.0856,-4.2022,-2.4133,0.012,-6.0031,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,CIPLA.NS,UP,True,0.7707,15,V3_FINAL,20,15,UP,1436.7,1436.7,0.0,20,0.0,18,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,1436.7,-0.3202,-1.8723,-2.4222,0.5429,-3.0904,False,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,BIOCON.NS,UP,True,0.8244,7,V3_FINAL,20,7,UP,419.0,418.0,-0.238663,16,-0.238663,19,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,418.0,2.8947,2.4282,3.0742,4.5215,-0.1675,True,True,True,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,ENDURANCE.NS,UP,True,0.7873,11,V3_FINAL,20,11,UP,2619.6001,2525.0,-3.611242,1,-3.611242,20,False,PASS,Trend_Pullback_or_Mean_Reversion,PASS_ALL_RULES,RANGE,False,PASS,True,2525.0,0.9307,0.8,3.8812,4.4119,-3.8614,True,False,False,False
5d62962fb3dd8e71,2026-05-14,2026-05-15,2026-08-21T11:40:49.713897+00:00,FINAL_TRADING_ARCHITECTURE_SHADOW_001_v1,CHOLAFIN.NS,DOWN,True,0.7985,6,V3_FINAL,20,6,DOWN,1567.1,1535.9,-1.990939,1,1.990939,1,True,NEUTRAL,NONE,DOWN_RANGE_NEUTRAL,RANGE,False,AGREE_PASS,True,1535.9,0.6771,-1.5952,-2.077,3.0114,-2.402,False,False,False,False
