model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,vs_v3top5_dir_delta,vs_v3top5_ge2_delta
C1_Top6,UP,OOS,318,0.5535,0.3459,0.239,0.1855,2.5698,2.8486,1.1826,0.2484,1.4522,0.566,0.2094,0.0441,0.0126
C1_Top10,UP,OOS,530,0.5528,0.3509,0.2302,0.1585,2.3829,2.6191,1.2483,0.2472,1.339,0.7358,0.2747,0.0434,0.0038
C2_Top5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.7149,0.5472,0.3977,0.1057,0.0642
C2_Top6,UP,OOS,318,0.5975,0.4088,0.2704,0.2044,2.4959,2.9687,0.8638,0.2138,1.5488,0.5472,0.4126,0.0881,0.044
C3_Top5,UP,OOS,265,0.5321,0.3585,0.2679,0.2151,3.0124,3.0164,1.6078,0.317,1.5686,0.6038,0.3053,0.0227,0.0415
C3_Top6,UP,OOS,318,0.5252,0.3553,0.2484,0.2013,2.8638,2.7916,1.6236,0.3208,1.4599,0.6226,0.2942,0.0158,0.022
C4_Top5,UP,OOS,265,0.5472,0.3547,0.2415,0.1962,2.694,2.9105,1.2071,0.2453,1.5171,0.5283,0.1612,0.0378,0.0151
C4_Top6,UP,OOS,318,0.5535,0.3459,0.239,0.1855,2.5698,2.8486,1.1826,0.2484,1.4522,0.566,0.1765,0.0441,0.0126
C5_Top5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.7149,0.5472,0.2547,0.1057,0.0642
C5_Top6,UP,OOS,318,0.5975,0.4088,0.2704,0.2044,2.4959,2.9687,0.8638,0.2138,1.5488,0.5472,0.2534,0.0881,0.044
C1_Low_Top5,UP,OOS,265,0.3962,0.234,0.1396,0.0868,1.9977,1.5201,2.3045,0.4302,0.7106,0.2264,0.204,-0.1132,-0.0868
Random_5,UP,OOS,1325,0.4845,0.2883,0.1811,0.1208,2.1461,2.1037,1.548,0.317,1.1883,0.3585,,-0.0249,-0.0453
Random_6,UP,OOS,1590,0.4906,0.2937,0.1818,0.1189,2.1272,2.1014,1.5438,0.3138,1.198,0.434,,-0.0188,-0.0446
V3_20,DOWN,TRAIN,2140,0.5383,0.2808,0.1276,0.0528,1.4153,1.4131,1.4943,0.2388,1.0,,0.0005,-0.0038,-0.0257
A_V3_Top5,DOWN,TRAIN,535,0.5421,0.2916,0.1533,0.071,1.5805,1.5783,1.5928,0.2486,1.0212,0.3084,-0.0242,0.0,0.0
A_V3_Top6,DOWN,TRAIN,642,0.5327,0.2788,0.1464,0.0717,1.5445,1.528,1.6102,0.2461,0.9758,0.3271,0.006,-0.0094,-0.0069
C1_Top5,DOWN,TRAIN,535,0.6019,0.3477,0.1757,0.0748,1.6057,1.8548,1.1733,0.2037,1.3096,0.4299,0.2295,0.0598,0.0224
C1_Top6,DOWN,TRAIN,642,0.5935,0.3333,0.1713,0.0701,1.5735,1.7953,1.176,0.2025,1.2433,0.4766,0.2307,0.0514,0.018
C1_Top10,DOWN,TRAIN,1070,0.5804,0.3159,0.1607,0.0673,1.5311,1.687,1.2541,0.1991,1.194,0.6729,0.2126,0.0383,0.0074
C2_Top5,DOWN,TRAIN,535,0.6131,0.3682,0.2075,0.0841,1.7352,1.9707,0.9555,0.1738,1.476,0.486,0.245,0.071,0.0542
C2_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.176,1.3776,0.5047,0.2533,0.0669,0.0383
C3_Top5,DOWN,TRAIN,535,0.5514,0.3009,0.1589,0.0748,1.6295,1.6376,1.4991,0.2411,1.0736,0.3458,0.2466,0.0093,0.0056
C3_Top6,DOWN,TRAIN,642,0.5452,0.2897,0.1558,0.0779,1.5963,1.5934,1.5275,0.2399,1.027,0.3645,0.2443,0.0031,0.0025
C4_Top5,DOWN,TRAIN,535,0.6019,0.3477,0.1757,0.0748,1.6057,1.8548,1.1733,0.2037,1.3096,0.4299,0.1953,0.0598,0.0224
C4_Top6,DOWN,TRAIN,642,0.5935,0.3333,0.1713,0.0701,1.5735,1.7953,1.176,0.2025,1.2433,0.4766,0.1885,0.0514,0.018
C5_Top5,DOWN,TRAIN,535,0.6131,0.3682,0.2075,0.0841,1.7352,1.9707,0.9555,0.1738,1.476,0.486,0.1779,0.071,0.0542
C5_Top6,DOWN,TRAIN,642,0.609,0.3536,0.1916,0.0794,1.6647,1.8913,0.9796,0.176,1.3776,0.5047,0.1674,0.0669,0.0383
C1_Low_Top5,DOWN,TRAIN,535,0.4449,0.2206,0.0972,0.0467,1.3937,1.1411,2.0919,0.3215,0.7309,0.1776,0.1892,-0.0972,-0.0561
Random_5,DOWN,TRAIN,2675,0.532,0.2804,0.1252,0.0535,1.4165,1.4057,1.5225,0.2441,1.0165,0.2617,,-0.0101,-0.0281
Random_6,DOWN,TRAIN,3210,0.5389,0.2822,0.129,0.0548,1.4202,1.4256,1.5137,0.2433,1.0649,0.3458,,-0.0032,-0.0243
V3_20,DOWN,VAL,1058,0.4849,0.3336,0.2089,0.1352,2.1651,1.7717,1.7914,0.3289,1.0,,0.0702,0.0019,-0.0137
A_V3_Top5,DOWN,VAL,265,0.483,0.3623,0.2226,0.1547,2.3902,1.7545,2.0212,0.3283,1.0076,0.3019,0.016,0.0,0.0
A_V3_Top6,DOWN,VAL,318,0.478,0.3553,0.2233,0.1604,2.4118,1.797,1.932,0.3302,1.0079,0.3774,0.0398,-0.005,0.0007
C1_Top5,DOWN,VAL,265,0.5509,0.4075,0.3019,0.2038,2.5813,2.262,1.5073,0.2717,1.4944,0.434,0.4996,0.0679,0.0793
C1_Top6,DOWN,VAL,318,0.5503,0.4025,0.2799,0.1887,2.4567,2.196,1.4706,0.2642,1.435,0.4717,0.5098,0.0673,0.0573
C1_Top10,DOWN,VAL,530,0.5245,0.3811,0.2472,0.166,2.3414,2.0367,1.6258,0.2962,1.1992,0.6604,0.5551,0.0415,0.0246
C2_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.2528,1.5726,0.4717,0.583,0.0868,0.0793
C2_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.2484,1.4473,0.4906,0.5992,0.0705,0.0699
C3_Top5,DOWN,VAL,265,0.5019,0.3925,0.2528,0.1736,2.5381,1.9972,1.9035,0.3283,1.2201,0.4151,0.429,0.0189,0.0302
C3_Top6,DOWN,VAL,318,0.4937,0.3774,0.2484,0.1761,2.545,1.9781,1.834,0.3302,1.181,0.4906,0.4077,0.0107,0.0258
C4_Top5,DOWN,VAL,265,0.5509,0.4075,0.3019,0.2038,2.5813,2.262,1.5073,0.2717,1.4944,0.434,0.5535,0.0679,0.0793
C4_Top6,DOWN,VAL,318,0.5503,0.4025,0.2799,0.1887,2.4567,2.196,1.4706,0.2642,1.435,0.4717,0.5625,0.0673,0.0573
C5_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.2528,1.5726,0.4717,0.212,0.0868,0.0793
C5_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.2484,1.4473,0.4906,0.1957,0.0705,0.0699
C1_Low_Top5,DOWN,VAL,265,0.434,0.3245,0.2038,0.1208,2.2256,1.4522,2.2822,0.3698,0.8484,0.283,0.4948,-0.049,-0.0188
Random_5,DOWN,VAL,1322,0.4856,0.3381,0.2095,0.1369,2.2136,1.783,1.8464,0.3313,1.0124,0.3396,,0.0026,-0.0131
Random_6,DOWN,VAL,1587,0.4883,0.3352,0.2105,0.1374,2.1985,1.7771,1.8186,0.322,1.0759,0.3962,,0.0053,-0.0121
V3_20,DOWN,OOS,1060,0.4877,0.2726,0.1283,0.0594,1.529,1.4028,1.6166,0.2858,1.0,,0.0234,0.0009,-0.0528
A_V3_Top5,DOWN,OOS,265,0.4868,0.3283,0.1811,0.1019,1.9142,1.6358,1.8373,0.2943,1.2531,0.4151,0.0227,0.0,0.0
A_V3_Top6,DOWN,OOS,318,0.478,0.305,0.1698,0.0943,1.8402,1.5875,1.8135,0.305,1.1672,0.4528,0.0271,-0.0088,-0.0113
C1_Top5,DOWN,OOS,265,0.5434,0.3849,0.234,0.1245,2.1346,2.1751,1.1845,0.2566,1.6542,0.6038,0.2873,0.0566,0.0529
C1_Top6,DOWN,OOS,318,0.5409,0.3774,0.217,0.1195,2.0591,2.0944,1.2511,0.2516,1.5581,0.6792,0.2808,0.0541,0.0359
C1_Top10,DOWN,OOS,530,0.5057,0.3264,0.1792,0.0868,1.8221,1.7341,1.3919,0.2755,1.2498,0.8679,0.3496,0.0189,-0.0019
C2_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.2038,1.746,0.6981,0.3808,0.117,0.0604
C2_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.2201,1.5731,0.717,0.3852,0.0981,0.0359
C3_Top5,DOWN,OOS,265,0.5057,0.3472,0.2113,0.1283,2.2101,1.911,1.6514,0.2906,1.4207,0.566,0.32,0.0189,0.0302
C3_Top6,DOWN,OOS,318,0.4969,0.327,0.1918,0.1164,2.1069,1.8371,1.663,0.2956,1.2951,0.6038,0.3093,0.0101,0.0107
C4_Top5,DOWN,OOS,265,0.5434,0.3849,0.234,0.1245,2.1346,2.1751,1.1845,0.2566,1.6542,0.6038,0.2294,0.0566,0.0529
C4_Top6,DOWN,OOS,318,0.5409,0.3774,0.217,0.1195,2.0591,2.0944,1.2511,0.2516,1.5581,0.6792,0.2287,0.0541,0.0359
C5_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.2038,1.746,0.6981,0.3031,0.117,0.0604
C5_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.2201,1.5731,0.717,0.3009,0.0981,0.0359
C1_Low_Top5,DOWN,OOS,265,0.4113,0.2151,0.0906,0.0415,1.3811,1.0013,2.3313,0.3509,0.7177,0.1321,0.1716,-0.0755,-0.0905
Random_5,DOWN,OOS,1325,0.4823,0.2755,0.1313,0.0619,1.5933,1.4144,1.6652,0.2906,0.9985,0.3208,,-0.0045,-0.0498
Random_6,DOWN,OOS,1590,0.4811,0.2824,0.1358,0.0654,1.6236,1.4488,1.6517,0.2881,1.1476,0.4717,,-0.0057,-0.0453
