direction,split,quintile,strategy_status,n,dir_acc,ge2_rate,ge3_rate,avg_ret,low_sample
DOWN,FULL,Q2,NEUTRAL,740,0.4432,0.0757,0.0284,-0.2882,OK
DOWN,FULL,Q2,CONTRADICTED,52,0.3077,0.0769,0.0192,-0.7147,OK
DOWN,FULL,Q3,ALIGNED,39,0.5641,0.4359,0.3333,0.7668,OK
DOWN,FULL,Q3,NEUTRAL,1041,0.5504,0.1047,0.0346,0.1593,OK
DOWN,FULL,Q3,CONTRADICTED,70,0.4429,0.0714,0.0143,0.1443,OK
DOWN,FULL,Q4,ALIGNED,24,0.6667,0.4583,0.2917,0.9807,LOW_SAMPLE
DOWN,FULL,Q4,NEUTRAL,458,0.6004,0.1572,0.0721,0.3313,OK
DOWN,FULL,Q4,CONTRADICTED,39,0.641,0.1026,0.0,0.1192,OK
DOWN,FULL,Q5,ALIGNED,136,0.7574,0.5515,0.4191,2.166,OK
DOWN,FULL,Q5,NEUTRAL,705,0.6993,0.3078,0.1745,1.1223,OK
DOWN,FULL,Q5,CONTRADICTED,51,0.7451,0.4118,0.1569,1.19,OK
