model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,fp_rate,ev,conc_lift,vs_KN_dir_delta,vs_KN_ge2_delta
KN_REJECT_days_T5,DOWN,TRAIN,15,0.4667,0.2,0.2,0.0667,1.4868,1.3558,0.87,0.2667,0.1114,1.6518,-0.1483,-0.0093
KN_CONTRADICTED_T5,DOWN,TRAIN,15,0.4667,0.2,0.2,0.0667,1.4868,1.3558,0.87,0.2667,0.1114,1.6518,-0.1483,-0.0093
KN_NEUTRAL_T5,DOWN,TRAIN,520,0.6192,0.3731,0.2096,0.0846,1.7385,1.9872,0.9624,0.1712,0.625,1.4738,0.0042,0.0003
Random_5,DOWN,TRAIN,2675,0.5323,0.2811,0.126,0.0535,1.4175,1.4038,1.5242,0.2437,0.0427,1.0138,-0.0827,-0.0833
Random_6,DOWN,TRAIN,3210,0.5389,0.2822,0.1299,0.0548,1.4205,1.4245,1.5166,0.2433,0.0605,1.0625,-0.0761,-0.0794
V3_20,DOWN,VAL,1058,0.4849,0.3336,0.2089,0.1352,2.1651,1.7717,1.7914,0.3289,-0.006,1.0,-0.0849,-0.093
A_KN_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.2528,0.7052,1.5726,0.0,0.0
A_KN_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.2484,0.6764,1.4473,-0.0163,-0.0094
B_KnStrat_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.2528,0.7052,1.5726,0.0,0.0
B_KnStrat_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.2484,0.6764,1.4473,-0.0163,-0.0094
C_Strat_Top5,DOWN,VAL,265,0.483,0.3623,0.2226,0.1547,2.3902,1.7545,2.0212,0.3283,-0.0162,1.0076,-0.0868,-0.0793
C_Strat_Top6,DOWN,VAL,318,0.478,0.3553,0.2233,0.1604,2.4118,1.797,1.932,0.3302,0.0381,1.0079,-0.0918,-0.0786
KN_PASS_days_T5,DOWN,VAL,70,0.5429,0.4714,0.4571,0.3857,3.7922,2.8932,1.1821,0.3,1.1321,1.3456,-0.0269,0.1552
KN_REJECT_days_T5,DOWN,VAL,45,0.5111,0.2444,0.1556,0.0889,1.3972,1.7733,0.9877,0.2222,0.1821,1.5219,-0.0587,-0.1463
KN_ALIGNED_T5,DOWN,VAL,70,0.5429,0.4714,0.4571,0.3857,3.7922,2.8932,1.1821,0.3,1.1321,1.3456,-0.0269,0.1552
KN_CONTRADICTED_T5,DOWN,VAL,45,0.5111,0.2444,0.1556,0.0889,1.3972,1.7733,0.9877,0.2222,0.1821,1.5219,-0.0587,-0.1463
KN_NEUTRAL_T5,DOWN,VAL,80,0.7375,0.5875,0.425,0.3125,3.0057,3.4651,0.4525,0.1375,1.7238,1.6964,0.1677,0.1231
Random_5,DOWN,VAL,1322,0.4856,0.3381,0.2095,0.1369,2.2136,1.783,1.8464,0.3313,-0.0267,1.0124,-0.0842,-0.0924
Random_6,DOWN,VAL,1587,0.4883,0.3352,0.2105,0.1374,2.1985,1.7771,1.8186,0.322,0.001,1.0759,-0.0815,-0.0914
V3_20,DOWN,OOS,1061,0.4882,0.2733,0.1291,0.0594,1.5307,1.4025,1.6184,0.2856,-0.1071,1.0,-0.1156,-0.1124
A_KN_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1472,2.123,2.3447,0.7797,0.2038,0.7279,1.7492,0.0,0.0
A_KN_Top6,DOWN,OOS,318,0.5849,0.3711,0.2201,0.1289,2.0138,2.1844,0.8761,0.2201,0.5911,1.5808,-0.0189,-0.0214
B_KnStrat_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1472,2.123,2.3447,0.7797,0.2038,0.7279,1.7492,0.0,0.0
B_KnStrat_Top6,DOWN,OOS,318,0.5849,0.3711,0.2201,0.1289,2.0138,2.1844,0.8761,0.2201,0.5911,1.5808,-0.0189,-0.0214
C_Strat_Top5,DOWN,OOS,265,0.4868,0.3283,0.1811,0.1019,1.9142,1.6358,1.8373,0.2943,-0.1779,1.2515,-0.117,-0.0604
C_Strat_Top6,DOWN,OOS,318,0.478,0.305,0.1698,0.0943,1.8402,1.5875,1.8135,0.305,-0.1972,1.1654,-0.1258,-0.0717
KN_REJECT_days_T5,DOWN,OOS,5,1.0,1.0,1.0,0.4,3.224,3.5941,-0.8041,0.0,3.224,1.6728,0.3962,0.7585
KN_CONTRADICTED_T5,DOWN,OOS,5,1.0,1.0,1.0,0.4,3.224,3.5941,-0.8041,0.0,3.224,1.6728,0.3962,0.7585
KN_NEUTRAL_T5,DOWN,OOS,260,0.5962,0.3731,0.2269,0.1423,2.0875,2.3207,0.8102,0.2077,0.6799,1.7507,-0.0076,-0.0146
Random_5,DOWN,OOS,1325,0.4815,0.2755,0.1313,0.0619,1.595,1.4142,1.6687,0.2913,-0.1323,0.984,-0.1223,-0.1102
Random_6,DOWN,OOS,1590,0.4805,0.2818,0.1365,0.066,1.6275,1.4498,1.6524,0.2881,-0.1163,1.1421,-0.1233,-0.105
